key;sv;en
common.save;Spara;Save
common.cancel;Avbryt;Cancel
common.close;Stäng;Close
common.delete;Radera;Delete
common.edit;Redigera;Edit
common.add;"Lägg till";Add
common.create;Skapa;Create
common.update;Uppdatera;Update
common.created;Skapad;Created
common.search;Sök;Search
common.loading;Laddar...;Loading...
common.please_wait;"Vänligen vänta...";"Please wait..."
common.actions;Åtgärder;Actions
common.unknown;Okänd;Unknown
common.yes;Ja;Yes
common.no;Nej;No
common.ok;OK;OK
common.login;"Logga in";"Log in"
common.logout;"Logga ut";"Log out"
common.welcome;Välkommen;Welcome
common.welcome_user;"Välkommen {name}!";"Welcome {name}!"
field.email;E-post;Email
field.password;Lösenord;Password
field.password_min_8;"Lösenord (minst 8 tecken)";"Password (min 8 characters)"
field.new_password_min_8;"Nytt lösenord (minst 8 tecken)";"New password (min 8 characters)"
field.name;Namn;Name
field.role;Roll;Role
error.generic;"Ett fel uppstod";"An error occurred"
error.not_found;"Sidan hittades inte";"Page not found"
error.unauthorized;"Ingen behörighet";Unauthorized
error.invalid_request;"Ogiltig förfrågan. Försök igen.";"Invalid request. Please try again."
error.too_many_attempts;"För många misslyckade försök. Vänta 15 minuter.";"Too many failed attempts. Wait 15 minutes."
error.invalid_credentials_or_no_admin;"Felaktiga inloggningsuppgifter eller saknar admin-behörighet.";"Invalid credentials or missing admin privileges."
error.all_fields_required;"Alla fält måste fyllas i.";"All fields are required."
error.password_min_length;"Lösenordet måste vara minst 8 tecken.";"Password must be at least 8 characters."
confirm.are_you_sure;"Är du säker?";"Are you sure?"
confirm.delete_item;"Vill du verkligen radera detta?";"Do you really want to delete this?"
pagination.previous;Föregående;Previous
pagination.next;Nästa;Next
filter.all;Alla;All
filter.security;Säkerhet;Security
filter.logins;Inloggningar;Logins
filter.errors;Fel;Errors
admin.nav.dashboard;Dashboard;Dashboard
admin.nav.users;Användare;Users
admin.nav.settings;Inställningar;Settings
admin.nav.logs;Loggar;Logs
admin.nav.sessions;Sessioner;Sessions
admin.nav.view_site;"Visa sidan";"View site"
admin.title.prefix;Admin;Admin
admin.title.panel;"Admin Panel";"Admin Panel"
admin.title.login;"Admin Login";"Admin Login"
admin.title.back_to_site;"Tillbaka till sidan";"Back to site"
admin.dashboard.logged_in_as;"Inloggad som:";"Logged in as:"
admin.dashboard.admin;Admin;Admin
admin.dashboard.events_24h;"Händelser (24h)";"Events (24h)"
admin.dashboard.active_users_24h;"Aktiva användare (24h)";"Active users (24h)"
admin.dashboard.failed_logins_24h;"Misslyckade inloggningar (24h)";"Failed logins (24h)"
admin.dashboard.recent_activity;"Senaste aktivitet";"Recent activity"
admin.users.created;"Användare skapad!";"User created!"
admin.users.deleted;"Användare borttagen!";"User deleted!"
admin.users.updated;"Användare uppdaterad!";"User updated!"
admin.users.create_new;"Skapa ny användare";"Create new user"
admin.users.edit;"Redigera användare";"Edit user"
admin.users.change_password;"Byt lösenord";"Change password"
admin.users.all_users;"Alla användare ({count})";"All users ({count})"
admin.users.cannot_delete_self;"Du kan inte ta bort dig själv.";"You cannot delete yourself."
admin.users.create_failed;"Kunde inte skapa användare. E-posten kanske redan finns.";"Could not create user. Email may already exist."
admin.users.update_failed;"Kunde inte uppdatera användare.";"Could not update user."
admin.users.delete_failed;"Kunde inte ta bort användare.";"Could not delete user."
admin.users.password_updated;"Lösenord uppdaterat!";"Password updated!"
admin.users.password_update_failed;"Kunde inte uppdatera lösenord.";"Could not update password."
admin.users.role_user;Användare;User
admin.users.role_admin;Admin;Admin
admin.settings.saved;"Inställningar sparade!";"Settings saved!"
admin.settings.save_failed;"Kunde inte spara inställningar.";"Could not save settings."
admin.settings.save;"Spara inställningar";"Save settings"
admin.settings.system_settings;Systeminställningar;"System settings"
admin.settings.general;Allmänt;General
admin.settings.security;Säkerhet;Security
admin.settings.site_name;"Sidans namn";"Site name"
admin.settings.description;Beskrivning;Description
